Марка,Модель,Мощность,Топливо,Цена,Год производства,Пробег,Коробка,Кузов,Привод,Цвет
Chevrolet,Captiva I,230,Бензин,494564,2011,99500,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Captiva I Рестайлинг 2,167,Бензин,885000,2014,75000,автомат,внедорожник 5 дв.,полный,серый
Chevrolet,Cruze I Рестайлинг,109,Бензин,449000,2013,37687,автомат,седан,передний,белый
Chevrolet,Niva I Рестайлинг,80,Бензин,350000,2013,49900,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Aveo II,115,Бензин,365000,2013,90134,автомат,хэтчбек 5 дв.,передний,синий
Chevrolet,Epica I,143,Бензин,350000,2008,144000,механика,седан,передний,чёрный
Chevrolet,Niva I Рестайлинг,80,Бензин,270000,2011,91000,механика,внедорожник 5 дв.,полный,серебристый
Chevrolet,Aveo I Рестайлинг,72,Бензин,230000,2008,117000,механика,седан,передний,серебристый
Chevrolet,Aveo II,115,Бензин,440000,2012,64000,автомат,седан,передний,серебристый
Chevrolet,Lacetti,94,Бензин,270000,2011,81000,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Niva I Рестайлинг,80,Бензин,290000,2010,93000,механика,внедорожник 5 дв.,полный,серый
Chevrolet,Tahoe IV,409,Бензин,2179,2015,79000,автомат,внедорожник 5 дв.,полный,белый
Chevrolet,Lacetti,109,Бензин,219000,2007,266000,механика,седан,передний,чёрный
Chevrolet,Spark III,67,Бензин,299000,2011,130181,механика,хэтчбек 5 дв.,передний,красный
Chevrolet,Captiva I,136,Бензин,620000,2010,86440,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Lacetti,109,Бензин,209000,2008,219739,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,TrailBlazer II,180,Дизель,1147,2014,64136,автомат,внедорожник 5 дв.,полный,серый
Chevrolet,Lanos I,86,Бензин,109750,2007,71500,механика,седан,передний,серебристый
Chevrolet,Orlando I,141,Бензин,449000,2013,137000,механика,компактвэн,передний,красный
Chevrolet,Lacetti,94,Бензин,248000,2010,93000,механика,хэтчбек 5 дв.,передний,красный
Chevrolet,Orlando I,141,Бензин,585000,2012,136000,механика,компактвэн,передний,белый
Chevrolet,Niva I Рестайлинг,80,Бензин,285000,2012,113170,механика,внедорожник 5 дв.,полный,серый
Chevrolet,Niva I Рестайлинг,80,Бензин,409000,2014,85372,механика,внедорожник 5 дв.,полный,серый
Chevrolet,Cruze I,141,Бензин,374000,2012,170707,механика,седан,передний,синий
Chevrolet,Niva I Рестайлинг,80,Бензин,420000,2012,132000,механика,внедорожник 5 дв.,полный,серый
Chevrolet,Aveo I,94,Бензин,225000,2006,131000,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Cobalt II,105,Бензин,360000,2013,127589,автомат,седан,передний,чёрный
Chevrolet,Cruze I Рестайлинг,109,Бензин,408000,2013,116000,автомат,седан,передний,чёрный
Chevrolet,Niva I Рестайлинг,80,Бензин,419000,2016,75421,механика,внедорожник 5 дв.,полный,серебристый
Chevrolet,Aveo II,115,Бензин,370000,2015,57000,автомат,седан,передний,белый
Chevrolet,Cruze I Рестайлинг,141,Бензин,560000,2013,163000,автомат,универсал 5 дв.,передний,голубой
Chevrolet,Niva I Рестайлинг,80,Бензин,395000,2015,78000,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Cruze I Рестайлинг,109,Бензин,458000,2014,81468,механика,седан,передний,синий
Chevrolet,Orlando I,141,Бензин,649000,2013,153067,автомат,компактвэн,передний,белый
Chevrolet,Lanos I,86,Бензин,114000,2007,173440,механика,седан,передний,зелёный
Chevrolet,Spark III,67,Бензин,339000,2012,127840,механика,хэтчбек 5 дв.,передний,серый
Chevrolet,Lacetti,109,Бензин,250000,2007,93353,механика,хэтчбек 5 дв.,передний,оранжевый
Chevrolet,Niva I Рестайлинг,80,Бензин,359000,2015,23000,механика,внедорожник 5 дв.,полный,белый
Chevrolet,TrailBlazer I Рестайлинг,295,Бензин,429999,2009,147255,автомат,внедорожник 5 дв.,задний,чёрный
